Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
BEL;BEL000021964;MOD;20150327;21001231;Y;002;O.2;MIKE MICHEL JR;OOSTE;OOSTENDE;Y;OPAB;Y;TBB;OTB;21.39;18.66;53.00;53.00;;;213.00;0.00;2;1975;3;26;MFL;;;;;;1964;N.V. Scheepswerf BAREVELD, Wildervank, NL;
BEL;BEL000071985;MOD;20060613;20180423;Y;007;BOU.7;DE ENIGE ZOON;BOEKH;BOEKHOUTE;Y;OPAG;Y;TBB;NO;19.10;16.67;57.00;57.00;;;219.00;0.00;2;1986;6;6;MFL;;;;;;1985;Swets B.V., Terneuzen, NL;
BEL;BEL000081967;MOD;20060206;20171106;Y;008;Z.8;AQUARIUS;ZEEBR;ZEEBRUGGE;Y;OPAH;Y;TBB;OTB;21.91;19.31;56.00;56.00;;;220.00;0.00;2;1967;7;1;MFL;;;;;;1967;Werf Declerck, Kruispolderhaven, NL;
BEL;BEL000131989;MOD;20110719;20170118;Y;013;O.13;MORGENSTER;OOSTE;OOSTENDE;Y;OPAM;Y;TBB;OTB;23.94;21.14;94.00;94.00;;;218.00;0.00;2;1989;2;15;MFL;;;;;;1989;Scheepsreparatiebedr. Welgelegen, Stationstraat 8,9974 SK Zoutkamp, NL;
BEL;BEL000241964;MOD;20060217;21001231;Y;024;BOU.24;BEATRIX;BOEKH;BOEKHOUTE;Y;OPAX;Y;TBB;OTB;19.04;16.64;44.00;44.00;;;202.00;0.00;2;1964;7;1;MFL;;;;;;1964;Fa. Gebr. Van De Sande, Breskens, NL;
BEL;BEL010291967;MOD;20070629;20180320;Y;029;O.29;BROODWINNER;OOSTE;OOSTENDE;Y;OPBC;Y;TBB;OTB;27.20;23.58;100.00;100.00;;;221.00;0.00;2;1967;10;10;MFL;;;;;;1967;Scheepswerf DEWEERT, Oostende;
BEL;BEL010331976;MOD;20150908;21001231;Y;033;O.33;MARBI;OOSTE;OOSTENDE;Y;OPBG;Y;TBB;OTB;34.80;31.03;254.00;254.00;;;1200.00;0.00;2;1976;4;9;MFL;;;;;;1976;N.V.West-Vlaamse Scheepswerven, Legeweg 163, 8020 Oostkamp;
BEL;BEL010511983;MOD;20130426;20160712;Y;051;O.51;STORMVOGEL;OOSTE;OOSTENDE;Y;OPBY;Y;TBB;OTB;30.58;27.16;217.00;217.00;;;722.00;0.00;2;1983;3;31;MFL;;;;;;1983;sv SCAP, H. Baelskaai 27, 8400 Oostende;
BEL;BEL010621963;MOD;20081127;21001231;Y;062;O.62;DINI;OOSTE;OOSTENDE;Y;OPCJ;Y;TBB;OTB;21.97;19.32;44.00;44.00;;;221.00;0.00;2;1963;7;1;MFL;;;;;;1963;Fa. Gebr. Van De Sande, Breskens, NL;
BEL;BEL011011967;MOD;20130405;20160124;Y;101;O.101;FISTON;OOSTE;OOSTENDE;Y;OPDW;Y;TBB;OTB;16.80;15.02;33.00;33.00;;;184.00;0.00;2;1967;11;24;MFL;;;;;;1967;Werf Jos Deweert, Werfkaai 2, 8400 Oostende;
BEL;BEL011161961;MOD;20150505;21001231;Y;116;N.116;NOSTALGIE;NIEUW;NIEUWPOORT;Y;OPEL;Y;TBB;GNS;17.00;14.89;33.00;33.00;;;142.00;0.00;1;1961;5;9;MFL;;;;;;1961;N.V. SCHEEPSWERVEN DE GRAEVE, ZEEGEULSTRAAT 137, 8380 ZEEBRUGGE;
BEL;BEL011541988;MOD;20120830;21001231;Y;154;O.154;WILMAR;OOSTE;OOSTENDE;Y;OPFX;Y;OTB;NO;25.94;22.92;207.00;207.00;;;1048.00;0.00;2;1988;7;26;MFL;;;;;;1988;N.V. Scheepswerven Seghers, Slipwaykaai 2, 8400 Oostende;
BEL;BEL011871989;MOD;20121107;21001231;Y;187;O.187;GRIETJE-HENDRIKA;OOSTE;OOSTENDE;Y;OPHE;Y;TBB;OTB;23.99;21.52;109.00;109.00;;;221.00;0.00;2;1989;7;10;MFL;;;;;;1989;Industrielle des P�cheries, Slipwaykaai 2, 8400 Oostende;
BEL;BEL011901963;MOD;20150805;20160307;Y;191;O.191;MATIMO;OOSTE;OOSTENDE;Y;OPHI;Y;TBB;GTR;21.20;18.39;54.00;54.00;;;221.00;0.00;2;1973;11;6;MFL;;;;;;1963;N.V. Scheepswerf BAREVELD, Wildervank, NL;
BEL;BEL011911968;MOD;20150922;21001231;Y;152;O.152;ARAN;OOSTE;OOSTENDE;Y;OPFV;Y;TBB;OTB;17.00;14.88;42.00;42.00;;;221.00;0.00;2;1968;11;19;MFL;;;;;;1968;7;
BEL;BEL012291991;MOD;20111104;20171128;Y;229;O.229;LIBERTY;OOSTE;OOSTENDE;Y;OPIU;Y;TBB;OTB;23.93;21.00;126.00;126.00;;;221.00;0.00;2;1991;6;5;MFL;;;;;;1991;Scheepsreparatiebedr. Welgelegen, Stationstraat 8,9974 SK Zoutkamp, NL;
BEL;BEL012312001;MOD;20131210;21001231;Y;231;O.231;DEN HOOPE;OOSTE;OOSTENDE;Y;OPIW;Y;TBB;NO;37.83;33.01;389.00;389.00;;;1200.00;0.00;2;2001;1;8;MFL;;;;;;2001;Scheepswerf V.D.Werff & Visser, Wijtteringswei 3, 9011 WJ Irnsum, NL;
