Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
FRA;ESP000022941;MOD;20150807;21001231;Y;932998;BA 932998;PLAYA DE TUYA;BA;BAYONNE;Y;FIUW;N;OTB;NO;33.50;33.00;279.00;279.00;;;707.00;0.00;2;2015;8;6;MFL;;;;;;1994;|ESPAGNE|ESPAGNE;
FRA;ESP000022972;MOD;20120924;21001231;Y;922721;BA 922721;RIO DA BOUZA;BA;BAYONNE;Y;FFZU;Y;OTB;NO;30.47;30.00;250.00;250.00;178.47;;588.00;0.00;2;2011;3;22;MFL;;;;;;1995;ESPAGNE|SANTO DOMINGO|ESPAGNE;
FRA;ESP000022984;MOD;20110426;21001231;Y;929520;BA 929520;FERREIRA MARTINEZ;BA;BAYONNE;Y;FLTR;Y;OTB;NO;28.99;25.00;227.00;227.00;158.60;;570.00;0.00;4;2010;7;2;MFL;;;;;;1994;MARIN||ESPAGNE;
FRA;ESP000023157;MOD;20121127;21001231;Y;930430;BA 930430;FARPESCA;BA;BAYONNE;Y;FHZJ;Y;OTB;NO;33.09;30.00;305.00;305.00;196.90;;810.00;0.00;2;2011;9;28;MFL;;;;;;1996;ASTILLEROS|ESPAGNE|ESPAGNE;
FRA;ESP000023601;MOD;20140522;21001231;Y;931195;BA 931195;MARIA VIDAL;BA;BAYONNE;Y;FIFF;Y;LLS;LLD;24.82;24.05;244.00;244.00;113.29;;588.00;0.00;2;2012;11;15;MFL;;;;;;1997;||ESPAGNE;
FRA;ESP000023933;MOD;20120423;21001231;Y;930501;BA 930501;FARO PICAMILLO;BA;BAYONNE;Y;FICU;Y;OTB;NO;32.00;29.36;298.00;298.00;191.34;;588.00;0.00;2;2012;2;23;MFL;;;;;;1998;CIES|VIGO|ESPAGNE;
FRA;ESP000024554;MOD;20130604;21001231;Y;930590;BA 930590;PEDRA BLANCA II;BA;BAYONNE;Y;FIDD;Y;OTB;NO;29.38;25.00;295.00;295.00;168.33;;688.00;0.00;2;2012;1;27;MFL;;;;;;2000;ASTILLEROS|VIGO|ESPAGNE;
FRA;ESP000024588;MOD;20150123;21001231;Y;932355;LO 932355;ARGELES;LO;LORIENT;Y;FIOI;Y;OTB;NO;33.60;33.00;393.00;393.00;211.81;;954.00;0.00;2;2014;11;18;MFL;;;;;;2000;ARMON|ESPAGNE|ESPAGNE;
FRA;ESP000024806;MOD;20120423;21001231;Y;929795;BA 929795;KIRRIXKI;BA;BAYONNE;Y;FFZX;Y;OTB;NO;37.25;30.00;361.00;361.00;273.81;;1080.00;0.00;2;2011;3;30;MFL;;;;;;2000;||ESPAGNE;
FRA;ESP000024996;MOD;20120423;21001231;Y;930703;BA 930703;RADOCHE TERCERO;BA;BAYONNE;Y;FIDH;Y;OTB;NO;30.43;25.00;311.00;311.00;177.43;;888.00;0.00;2;2012;3;12;MFL;;;;;;2001;ASTILLERO|LA COROGNE|ESPAGNE;
